"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
Canada (50),"Total, all violations [0] ",Actual incidents,2275917,2244458,2098776,2052925,2111021
Canada (50),"Total, all violations [0] ","Rate per 100,000 population",6627.06,6458.60,5969.98,5775.78,5888.19
Canada (50),"Total, all violations [0] ",Percentage change in rate (22),-5.28,-2.54,-7.57,-3.25,1.95
Canada (50),"Total, all violations [0] ",Total cleared,1066428,1050701,991939,952516,945130
Canada (50),"Total, all violations [0] ",Cleared by charge,658522,660653,626019,607852,613102
Canada (50),"Total, all violations [0] ",Cleared otherwise,407906,390048,365920,344664,332028
Canada (50),"Total, all violations [0] ","Total, persons charged (23)",629943,628614,595717,578044,584092
Canada (50),"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2107.42,2077.02,1945.37,1867.02,1870.90
Canada (50),"Total, all violations [0] ","Total, adult charged",557349,560984,537465,526495,534583
Canada (50),"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2034.00,2016.51,1903.83,1839.85,1849.59
Canada (50),"Total, all violations [0] ","Total, youth charged (39,40)",72594,67630,58252,51549,49509
Canada (50),"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2915.45,2765.35,2435.68,2198.73,2136.78
Canada (50),"Total, all violations [0] ","Total, youth not charged (39,40)",94608,86893,72146,64978,61240
Canada (50),"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3799.55,3553.00,3016.62,2771.52,2643.08
Newfoundland and Labrador,"Total, all violations [0] ",Actual incidents,37465,36024,35217,32842,33545
Newfoundland and Labrador,"Total, all violations [0] ","Rate per 100,000 population",7135.69,6837.04,6669.67,6207.51,6356.16
Newfoundland and Labrador,"Total, all violations [0] ",Percentage change in rate (22),-5.30,-4.19,-2.45,-6.93,2.39
Newfoundland and Labrador,"Total, all violations [0] ",Total cleared,14634,14265,14062,13438,12383
Newfoundland and Labrador,"Total, all violations [0] ",Cleared by charge,8546,8722,8771,8391,8051
